stcty,reg,div,stname,ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem
45001,3,5,South Carolina,Abbeville County,1,26167,12544,13623,1765,896,869,3352,1708,1644,1504,793,711,2498,1189,1309,20290,9530,10760,19546,9147,10399,10621,5145,5476,3842,1544,2298,488,139,349
45003,3,5,South Carolina,Aiken County,1,142552,68667,73885,9484,4870,4614,19229,9831,9398,8635,4358,4277,12478,6098,6380,109472,51748,57724,105204,49608,55596,60112,29256,30856,18287,7567,10720,1782,511,1271
45005,3,5,South Carolina,Allendale County,1,11211,5837,5374,775,455,320,1527,766,761,677,352,325,1099,620,479,8578,4446,4132,8232,4264,3968,4785,2693,2092,1421,549,872,189,40,149
45007,3,5,South Carolina,Anderson County,1,165740,80076,85664,11057,5684,5373,20851,10696,10155,8864,4426,4438,13868,6850,7018,129367,61503,67864,124968,59270,65698,68631,33820,34811,22627,9203,13424,2344,637,1707
45009,3,5,South Carolina,Bamberg County,1,16658,7831,8827,1039,558,481,2162,1093,1069,1034,508,526,2147,1057,1090,12988,5956,7032,12423,5672,6751,7046,3360,3686,2314,880,1434,240,60,180
45011,3,5,South Carolina,Barnwell County,1,23478,11293,12185,1674,898,776,3398,1791,1607,1537,782,755,2041,998,1043,17648,8216,9432,16869,7822,9047,9757,4692,5065,2962,1138,1824,301,70,231
45013,3,5,South Carolina,Beaufort County,1,120937,61193,59744,8110,4168,3942,14288,7251,7037,5745,2915,2830,14471,9065,5406,95645,48314,47331,92794,46859,45935,51591,27884,23707,18754,8791,9963,1512,529,983
45015,3,5,South Carolina,Berkeley County,1,142651,72462,70189,10242,5305,4937,20538,10474,10064,9145,4767,4378,16706,9922,6784,107249,54260,52989,102726,51916,50810,68039,35966,32073,11261,4888,6373,879,229,650
45017,3,5,South Carolina,Calhoun County,1,15185,7196,7989,958,480,478,1964,1002,962,882,438,444,1118,543,575,11827,5488,6339,11381,5276,6105,5892,2809,3083,2102,854,1248,242,63,179
45019,3,5,South Carolina,Charleston County,1,309969,149787,160182,19806,10166,9640,37605,19233,18372,16163,8063,8100,37269,18867,18402,244352,116238,128114,236395,112325,124070,143348,71161,72187,36858,14966,21892,3855,1037,2818
45021,3,5,South Carolina,Cherokee County,1,52537,25423,27114,3758,1896,1862,6974,3557,3417,2838,1439,1399,4746,2327,2419,40386,19261,21125,38967,18531,20436,22421,11140,11281,6517,2501,4016,721,147,574
45023,3,5,South Carolina,Chester County,1,34068,16369,17699,2294,1229,1065,4818,2476,2342,2055,1037,1018,2871,1403,1468,25953,12142,13811,24901,11627,13274,14035,6818,7217,4317,1692,2625,446,102,344
45025,3,5,South Carolina,Chesterfield County,1,42768,20631,22137,2893,1445,1448,5988,3045,2943,2510,1278,1232,3644,1800,1844,32642,15518,17124,31377,14863,16514,17922,8901,9021,5120,2005,3115,516,123,393
45027,3,5,South Carolina,Clarendon County,1,32502,15957,16545,1972,1019,953,4303,2135,2168,2088,1092,996,3397,2052,1345,25214,12287,12927,24139,11711,12428,13136,6833,6303,4538,1896,2642,433,121,312
45029,3,5,South Carolina,Colleton County,1,38264,18327,19937,2649,1346,1303,5374,2760,2614,2492,1240,1252,3078,1503,1575,28987,13602,15385,27749,12981,14768,15233,7316,7917,4928,2059,2869,493,134,359
45031,3,5,South Carolina,Darlington County,1,67394,31881,35513,4664,2399,2265,9294,4781,4513,3751,1928,1823,6051,2896,3155,51543,23718,27825,49685,22773,26912,27847,13227,14620,8158,3129,5029,843,208,635
45033,3,5,South Carolina,Dillon County,1,30722,14329,16393,2273,1099,1174,4596,2359,2237,2063,1077,986,2927,1392,1535,22857,10338,12519,21790,9794,11996,12927,6142,6785,3545,1258,2287,353,80,273
45035,3,5,South Carolina,Dorchester County,1,96413,47184,49229,6470,3326,3144,14756,7620,7136,6617,3445,3172,7471,3743,3728,71812,34415,37397,68570,32793,35777,42862,21302,21560,8791,3511,5280,870,211,659
45037,3,5,South Carolina,Edgefield County,1,24595,13039,11556,1480,779,701,3096,1572,1524,1355,714,641,2412,1456,956,19321,10319,9002,18664,9974,8690,11294,6469,4825,2669,1089,1580,293,84,209
45039,3,5,South Carolina,Fairfield County,1,23454,11167,12287,1580,792,788,3180,1571,1609,1368,657,711,2019,1000,1019,17991,8476,9515,17326,8147,9179,9551,4575,4976,3094,1284,1810,344,101,243
45041,3,5,South Carolina,Florence County,1,125761,59099,66662,8216,4164,4052,16804,8527,8277,7581,3827,3754,12215,5882,6333,96934,44493,52441,93160,42581,50579,54300,25832,28468,14837,5588,9249,1797,424,1373
45043,3,5,South Carolina,Georgetown County,1,55797,26700,29097,3477,1758,1719,7267,3709,3558,3300,1642,1658,4312,2132,2180,43398,20400,22998,41753,19591,22162,21225,10253,10972,8354,3687,4667,657,199,458
45045,3,5,South Carolina,Greenville County,1,379616,184782,194834,25655,13157,12498,47671,24432,23239,20058,10363,9695,36424,18129,18295,296099,141897,154202,286232,136830,149402,169959,84985,84974,44573,17634,26939,5009,1263,3746
45047,3,5,South Carolina,Greenwood County,1,66271,31088,35183,4577,2328,2249,8658,4327,4331,3644,1795,1849,6918,3257,3661,51249,23558,27691,49392,22638,26754,28356,13524,14832,9075,3505,5570,1041,271,770
45049,3,5,South Carolina,Hampton County,1,21386,10894,10492,1431,740,691,3103,1541,1562,1377,726,651,1808,937,871,16202,8275,7927,15475,7887,7588,9197,5033,4164,2595,1022,1573,274,76,198
45051,3,5,South Carolina,Horry County,1,196629,96534,100095,11298,5859,5439,21347,10954,10393,9284,4739,4545,18421,9364,9057,159355,77370,81985,154700,74982,79718,83048,42009,41039,29470,13173,16297,2041,587,1454
45053,3,5,South Carolina,Jasper County,1,20678,10878,9800,1499,821,678,2859,1466,1393,1183,618,565,2129,1248,881,15771,8302,7469,15137,7973,7164,9355,5281,4074,2269,1003,1266,258,89,169
45055,3,5,South Carolina,Kershaw County,1,52647,25424,27223,3452,1736,1716,7108,3632,3476,3190,1635,1555,4024,2019,2005,40462,19219,21243,38897,18421,20476,21598,10548,11050,6796,2821,3975,703,185,518
45057,3,5,South Carolina,Lancaster County,1,61351,30393,30958,4001,2084,1917,8178,4250,3928,3416,1724,1692,5272,2804,2468,47495,23205,24290,45756,22335,23421,26392,13671,12721,7413,2882,4531,752,178,574
45059,3,5,South Carolina,Laurens County,1,69567,33641,35926,4570,2367,2203,9105,4642,4463,3912,2046,1866,6434,3294,3140,53961,25638,28323,51980,24586,27394,29215,14536,14679,9168,3542,5626,1121,269,852
45061,3,5,South Carolina,Lee County,1,20119,10128,9991,1277,644,633,2644,1331,1313,1262,644,618,2015,1100,915,15568,7820,7748,14936,7509,7427,8837,4779,4058,2504,975,1529,287,83,204
45063,3,5,South Carolina,Lexington County,1,216014,104977,111037,14762,7645,7117,29142,14906,14236,12409,6193,6216,17874,8870,9004,165839,79360,86479,159701,76233,83468,95513,46879,48634,21989,8892,13097,2412,600,1812
45065,3,5,South Carolina,McCormick County,1,9958,5299,4659,417,217,200,974,494,480,546,284,262,830,518,312,8303,4450,3853,8021,4304,3717,4003,2393,1610,1645,714,931,178,43,135
45067,3,5,South Carolina,Marion County,1,35466,16388,19078,2469,1296,1173,4972,2516,2456,2353,1136,1217,3430,1665,1765,26892,12047,14845,25672,11440,14232,14735,6901,7834,4298,1576,2722,470,139,331
45069,3,5,South Carolina,Marlboro County,1,28818,14137,14681,1916,967,949,3776,1915,1861,1857,1002,855,2687,1395,1292,22164,10751,11413,21269,10253,11016,12518,6544,5974,3550,1338,2212,399,96,303
45071,3,5,South Carolina,Newberry County,1,36108,17421,18687,2326,1186,1140,4365,2240,2125,2010,1031,979,3551,1778,1773,28404,13461,14943,27407,12964,14443,15035,7476,7559,5323,2056,3267,706,173,533
45073,3,5,South Carolina,Oconee County,1,66215,32554,33661,3996,2030,1966,7713,4048,3665,3423,1791,1632,5291,2691,2600,52759,25538,27221,51083,24685,26398,25954,13053,12901,10311,4504,5807,849,227,622
45075,3,5,South Carolina,Orangeburg County,1,91582,42610,48972,5959,3121,2838,12068,6102,5966,5742,2906,2836,10872,5036,5836,70749,31958,38791,67813,30481,37332,39191,18282,20909,12091,4679,7412,1335,294,1041
45077,3,5,South Carolina,Pickens County,1,110757,55276,55481,6722,3472,3250,12659,6439,6220,5311,2719,2592,19370,10316,9054,88698,44030,44668,86065,42646,43419,53870,27910,25960,12616,5277,7339,1504,418,1086
45079,3,5,South Carolina,Richland County,1,320677,154737,165940,20285,10251,10034,39458,20005,19453,17866,9498,8368,44135,22013,22122,252197,119893,132304,243068,114983,128085,159069,78485,80584,31475,12386,19089,3378,884,2494
45081,3,5,South Carolina,Saluda County,1,19181,9523,9658,1251,652,599,2392,1224,1168,1137,620,517,1772,941,831,14995,7358,7637,14401,7027,7374,7925,4070,3855,2778,1162,1616,341,77,264
45083,3,5,South Carolina,Spartanburg County,1,253791,123338,130453,16739,8565,8174,32642,16769,15873,13520,6895,6625,23400,11529,11871,197564,94512,103052,190890,91109,99781,109310,54751,54559,31740,12439,19301,3583,915,2668
45085,3,5,South Carolina,Sumter County,1,104646,50680,53966,7829,3984,3845,15040,7672,7368,6561,3359,3202,10999,5716,5283,78541,37364,41177,75216,35665,39551,46693,23261,23432,11760,4584,7176,1281,318,963
45087,3,5,South Carolina,Union County,1,29881,14075,15806,1894,958,936,3629,1789,1840,1603,850,753,2439,1171,1268,23553,10898,12655,22755,10478,12277,12006,5883,6123,4670,1784,2886,505,124,381
45089,3,5,South Carolina,Williamsburg County,1,37217,17409,19808,2574,1325,1249,5473,2815,2658,2614,1341,1273,3361,1657,1704,27872,12599,15273,26556,11928,14628,14881,6998,7883,4856,1845,3011,472,121,351
45091,3,5,South Carolina,York County,1,164614,79751,84863,11144,5737,5407,22615,11652,10963,9525,4831,4694,15557,7152,8405,125984,59876,66108,121330,57531,63799,73811,35883,37928,17072,6862,10210,1772,457,1315
45001,3,5,South Carolina,Abbeville County,2,26167,12544,13623,1765,896,869,3352,1708,1644,1504,793,711,2498,1189,1309,20290,9530,10760,19546,9147,10399,10621,5145,5476,3842,1544,2298,488,139,349
45003,3,5,South Carolina,Aiken County,2,142552,68667,73885,9484,4870,4614,19229,9831,9398,8635,4358,4277,12478,6098,6380,109472,51748,57724,105204,49608,55596,60112,29256,30856,18287,7567,10720,1782,511,1271
45005,3,5,South Carolina,Allendale County,2,11211,5837,5374,775,455,320,1527,766,761,677,352,325,1099,620,479,8578,4446,4132,8232,4264,3968,4785,2693,2092,1421,549,872,189,40,149
45007,3,5,South Carolina,Anderson County,2,165740,80076,85664,11057,5684,5373,20851,10696,10155,8864,4426,4438,13868,6850,7018,129367,61503,67864,124968,59270,65698,68631,33820,34811,22627,9203,13424,2344,637,1707
45009,3,5,South Carolina,Bamberg County,2,16658,7831,8827,1039,558,481,2162,1093,1069,1034,508,526,2147,1057,1090,12988,5956,7032,12423,5672,6751,7046,3360,3686,2314,880,1434,240,60,180
45011,3,5,South Carolina,Barnwell County,2,23478,11293,12185,1674,898,776,3398,1791,1607,1537,782,755,2041,998,1043,17648,8216,9432,16869,7822,9047,9757,4692,5065,2962,1138,1824,301,70,231
45013,3,5,South Carolina,Beaufort County,2,120937,61193,59744,8110,4168,3942,14288,7251,7037,5745,2915,2830,14471,9065,5406,95645,48314,47331,92794,46859,45935,51591,27884,23707,18754,8791,9963,1512,529,983
45015,3,5,South Carolina,Berkeley County,2,142651,72462,70189,10242,5305,4937,20538,10474,10064,9145,4767,4378,16706,9922,6784,107249,54260,52989,102726,51916,50810,68039,35966,32073,11261,4888,6373,879,229,650
45017,3,5,South Carolina,Calhoun County,2,15185,7196,7989,958,480,478,1964,1002,962,882,438,444,1118,543,575,11827,5488,6339,11381,5276,6105,5892,2809,3083,2102,854,1248,242,63,179
45019,3,5,South Carolina,Charleston County,2,309960,149784,160176,19806,10166,9640,37605,19233,18372,16163,8063,8100,37268,18867,18401,244343,116235,128108,236386,112322,124064,143344,71160,72184,36854,14964,21890,3855,1037,2818
45021,3,5,South Carolina,Cherokee County,2,52537,25423,27114,3758,1896,1862,6974,3557,3417,2838,1439,1399,4746,2327,2419,40386,19261,21125,38967,18531,20436,22421,11140,11281,6517,2501,4016,721,147,574
45023,3,5,South Carolina,Chester County,2,34068,16369,17699,2294,1229,1065,4818,2476,2342,2055,1037,1018,2871,1403,1468,25953,12142,13811,24901,11627,13274,14035,6818,7217,4317,1692,2625,446,102,344
45025,3,5,South Carolina,Chesterfield County,2,42768,20631,22137,2893,1445,1448,5988,3045,2943,2510,1278,1232,3644,1800,1844,32642,15518,17124,31377,14863,16514,17922,8901,9021,5120,2005,3115,516,123,393
45027,3,5,South Carolina,Clarendon County,2,32502,15957,16545,1972,1019,953,4303,2135,2168,2088,1092,996,3397,2052,1345,25214,12287,12927,24139,11711,12428,13136,6833,6303,4538,1896,2642,433,121,312
45029,3,5,South Carolina,Colleton County,2,38264,18327,19937,2649,1346,1303,5374,2760,2614,2492,1240,1252,3078,1503,1575,28987,13602,15385,27749,12981,14768,15233,7316,7917,4928,2059,2869,493,134,359
45031,3,5,South Carolina,Darlington County,2,67394,31881,35513,4664,2399,2265,9294,4781,4513,3751,1928,1823,6051,2896,3155,51543,23718,27825,49685,22773,26912,27847,13227,14620,8158,3129,5029,843,208,635
45033,3,5,South Carolina,Dillon County,2,30722,14329,16393,2273,1099,1174,4596,2359,2237,2063,1077,986,2927,1392,1535,22857,10338,12519,21790,9794,11996,12927,6142,6785,3545,1258,2287,353,80,273
45035,3,5,South Carolina,Dorchester County,2,96361,47159,49202,6468,3325,3143,14749,7614,7135,6612,3442,3170,7470,3743,3727,71773,34400,37373,68532,32778,35754,42842,21295,21547,8786,3511,5275,870,211,659
45037,3,5,South Carolina,Edgefield County,2,24593,13038,11555,1480,779,701,3096,1572,1524,1355,714,641,2412,1456,956,19319,10318,9001,18662,9973,8689,11292,6468,4824,2669,1089,1580,293,84,209
45039,3,5,South Carolina,Fairfield County,2,23454,11167,12287,1580,792,788,3180,1571,1609,1368,657,711,2019,1000,1019,17991,8476,9515,17326,8147,9179,9551,4575,4976,3094,1284,1810,344,101,243
45041,3,5,South Carolina,Florence County,2,125761,59099,66662,8216,4164,4052,16804,8527,8277,7581,3827,3754,12215,5882,6333,96934,44493,52441,93160,42581,50579,54300,25832,28468,14837,5588,9249,1797,424,1373
45043,3,5,South Carolina,Georgetown County,2,55797,26700,29097,3477,1758,1719,7267,3709,3558,3300,1642,1658,4312,2132,2180,43398,20400,22998,41753,19591,22162,21225,10253,10972,8354,3687,4667,657,199,458
45045,3,5,South Carolina,Greenville County,2,379632,184787,194845,25655,13157,12498,47671,24432,23239,20060,10364,9696,36424,18129,18295,296115,141902,154213,286246,136834,149412,169962,84987,84975,44581,17635,26946,5010,1263,3747
45047,3,5,South Carolina,Greenwood County,2,66271,31088,35183,4577,2328,2249,8658,4327,4331,3644,1795,1849,6918,3257,3661,51249,23558,27691,49392,22638,26754,28356,13524,14832,9075,3505,5570,1041,271,770
45049,3,5,South Carolina,Hampton County,2,21386,10894,10492,1431,740,691,3103,1541,1562,1377,726,651,1808,937,871,16202,8275,7927,15475,7887,7588,9197,5033,4164,2595,1022,1573,274,76,198
45051,3,5,South Carolina,Horry County,2,196629,96534,100095,11298,5859,5439,21347,10954,10393,9284,4739,4545,18421,9364,9057,159355,77370,81985,154700,74982,79718,83048,42009,41039,29470,13173,16297,2041,587,1454
45053,3,5,South Carolina,Jasper County,2,20678,10878,9800,1499,821,678,2859,1466,1393,1183,618,565,2129,1248,881,15771,8302,7469,15137,7973,7164,9355,5281,4074,2269,1003,1266,258,89,169
45055,3,5,South Carolina,Kershaw County,2,52647,25424,27223,3452,1736,1716,7108,3632,3476,3190,1635,1555,4024,2019,2005,40462,19219,21243,38897,18421,20476,21598,10548,11050,6796,2821,3975,703,185,518
45057,3,5,South Carolina,Lancaster County,2,61351,30393,30958,4001,2084,1917,8178,4250,3928,3416,1724,1692,5272,2804,2468,47495,23205,24290,45756,22335,23421,26392,13671,12721,7413,2882,4531,752,178,574
45059,3,5,South Carolina,Laurens County,2,69533,33631,35902,4569,2367,2202,9099,4639,4460,3905,2043,1862,6433,3294,3139,53937,25632,28305,51960,24582,27378,29203,14533,14670,9158,3540,5618,1120,269,851
45061,3,5,South Carolina,Lee County,2,20119,10128,9991,1277,644,633,2644,1331,1313,1262,644,618,2015,1100,915,15568,7820,7748,14936,7509,7427,8837,4779,4058,2504,975,1529,287,83,204
45063,3,5,South Carolina,Lexington County,2,216014,104977,111037,14762,7645,7117,29142,14906,14236,12409,6193,6216,17874,8870,9004,165839,79360,86479,159701,76233,83468,95513,46879,48634,21989,8892,13097,2412,600,1812
45065,3,5,South Carolina,McCormick County,2,9958,5299,4659,417,217,200,974,494,480,546,284,262,830,518,312,8303,4450,3853,8021,4304,3717,4003,2393,1610,1645,714,931,178,43,135
45067,3,5,South Carolina,Marion County,2,35466,16388,19078,2469,1296,1173,4972,2516,2456,2353,1136,1217,3430,1665,1765,26892,12047,14845,25672,11440,14232,14735,6901,7834,4298,1576,2722,470,139,331
45069,3,5,South Carolina,Marlboro County,2,28818,14137,14681,1916,967,949,3776,1915,1861,1857,1002,855,2687,1395,1292,22164,10751,11413,21269,10253,11016,12518,6544,5974,3550,1338,2212,399,96,303
45071,3,5,South Carolina,Newberry County,2,36108,17421,18687,2326,1186,1140,4365,2240,2125,2010,1031,979,3551,1778,1773,28404,13461,14943,27407,12964,14443,15035,7476,7559,5323,2056,3267,706,173,533
45073,3,5,South Carolina,Oconee County,2,66215,32554,33661,3996,2030,1966,7713,4048,3665,3423,1791,1632,5291,2691,2600,52759,25538,27221,51083,24685,26398,25954,13053,12901,10311,4504,5807,849,227,622
45075,3,5,South Carolina,Orangeburg County,2,91509,42578,48931,5954,3116,2838,12058,6096,5962,5740,2905,2835,10867,5033,5834,70692,31938,38754,67757,30461,37296,39162,18269,20893,12078,4677,7401,1333,294,1039
45077,3,5,South Carolina,Pickens County,2,110757,55276,55481,6722,3472,3250,12659,6439,6220,5311,2719,2592,19370,10316,9054,88698,44030,44668,86065,42646,43419,53870,27910,25960,12616,5277,7339,1504,418,1086
45079,3,5,South Carolina,Richland County,2,320677,154737,165940,20285,10251,10034,39458,20005,19453,17866,9498,8368,44135,22013,22122,252197,119893,132304,243068,114983,128085,159069,78485,80584,31475,12386,19089,3378,884,2494
45081,3,5,South Carolina,Saluda County,2,19181,9523,9658,1251,652,599,2392,1224,1168,1137,620,517,1772,941,831,14995,7358,7637,14401,7027,7374,7925,4070,3855,2778,1162,1616,341,77,264
45083,3,5,South Carolina,Spartanburg County,2,253782,123338,130444,16739,8565,8174,32642,16769,15873,13520,6895,6625,23391,11529,11862,197555,94512,103043,190881,91109,99772,109301,54751,54550,31740,12439,19301,3583,915,2668
45085,3,5,South Carolina,Sumter County,2,104636,50674,53962,7829,3984,3845,15037,7670,7367,6561,3359,3202,10999,5716,5283,78534,37360,41174,75209,35661,39548,46692,23261,23431,11756,4582,7174,1281,318,963
45087,3,5,South Carolina,Union County,2,29881,14075,15806,1894,958,936,3629,1789,1840,1603,850,753,2439,1171,1268,23553,10898,12655,22755,10478,12277,12006,5883,6123,4670,1784,2886,505,124,381
